Job ID,Job Title,Company Name,Job Location,Salary Range,Experience Required,Job Portal,Number of Applicants,Company Size,Job Description,Recruiter Email,fake_label,triggered_rules
JOB30,Cyber Security Analyst,IBM,Ahmedabad,20+ LPA,5-10 years,LinkedIn,251,Small (1-50),Role requires domain expertise and strong communication skills.,apply@outlook.com,1,"email_suspicious,missing_description,company_salary_mismatch"
JOB31,HR Manager,Amazon,Delhi,8-12 LPA,5-10 years,Indeed,449,Small (1-50),Candidates will work closely with cross-functional teams to meet objectives.,jobs@gmail.com,1,"email_suspicious,missing_description"
JOB32,Financial Analyst,Infosys,Delhi,8-12 LPA,0-2 years,Naukri.com,337,Large (500+),Looking for experienced professionals to join our growing team.,recruitment@outlok.com,1,missing_description
JOB33,HR Manager,Wipro,Bangalore,3-5 LPA,0-2 years,Naukri.com,220,Small (1-50),Competitive role with clear growth path and mentorship.,team@hiremefast.co,1,missing_description
JOB34,Graphic Designer,TCS,Chennai,5-8 LPA,10+ years,Naukri.com,406,Large (500+),Candidates will work closely with cross-functional teams to meet objectives.,hr@private.com,1,missing_description
JOB35,Financial Analyst,Amazon,Hyderabad,20+ LPA,0-2 years,LinkedIn,114,Small (1-50),Join us to build the next generation of solutions in your field.,hiring@private.com,1,"missing_description,company_salary_mismatch"
JOB36,Marketing Executive,HCL,Remote,20+ LPA,5-10 years,LinkedIn,208,Medium (51-500),Candidates will work closely with cross-functional teams to meet objectives.,team@gmail.com,1,"email_suspicious,missing_description,company_salary_mismatch"
JOB37,Cyber Security Analyst,Amazon,Noida,8-12 LPA,5-10 years,Indeed,214,Large (500+),Competitive role with clear growth path and mentorship.,hiring@gmail.com,1,"email_suspicious,missing_description"
JOB38,Product Manager,Deloitte,Delhi,3-5 LPA,10+ years,Indeed,300,Medium (51-500),No experience required! Apply now and start earning today!,admin@outlook.com,1,"email_suspicious,missing_description,trigger_keyword"
JOB39,Financial Analyst,HCL,Delhi,5-8 LPA,0-2 years,Naukri.com,196,Large (500+),Competitive role with clear growth path and mentorship.,admin@gmail.com,1,"email_suspicious,missing_description"
JOB40,Financial Analyst,Confidential,Noida,20+ LPA,2-5 years,LinkedIn,278,Small (1-50),Competitive role with clear growth path and mentorship.,team@outlook.com,1,"email_suspicious,missing_description,vague_company,company_salary_mismatch"
JOB41,Graphic Designer,Wipro,Hyderabad,12-20 LPA,0-2 years,Naukri.com,391,Large (500+),Join us to build the next generation of solutions in your field.,jobs@outlook.com,1,"email_suspicious,missing_description"
JOB42,Graphic Designer,Deloitte,,12-20 LPA,10+ years,Naukri.com,487,Medium (51-500),No experience required! Apply now and start earning today!,jobs@outlook.com,1,"email_suspicious,missing_description,location_missing,trigger_keyword"
JOB43,Software Engineer,IBM,Mumbai,20+ LPA,0-2 years,LinkedIn,129,Medium (51-500),Competitive role with clear growth path and mentorship.,hiring@jobssmail.com,1,"missing_description,company_salary_mismatch"
JOB44,Financial Analyst,TCS,Ahmedabad,3-5 LPA,10+ years,Naukri.com,429,Large (500+),Join us to build the next generation of solutions in your field.,admin@gmail.com,1,"email_suspicious,missing_description"
JOB45,Software Engineer,Microsoft,Hyderabad,20+ LPA,10+ years,Indeed,319,Large (500+),Limited slots available! Click here to apply fast!,hr@gmaill.com,1,missing_description
JOB46,Product Manager,IBM,Ahmedabad,8-12 LPA,2-5 years,Indeed,158,Small (1-50),Applicants should have relevant technical skills and industry exposure.,career@gmail.com,1,"email_suspicious,missing_description"
JOB47,Cyber Security Analyst,Infosys,Kolkata,8-12 LPA,10+ years,Naukri.com,139,Large (500+),Applicants should have relevant technical skills and industry exposure.,career@gmail.com,1,"email_suspicious,missing_description"
JOB48,Financial Analyst,Confidential,Bangalore,3-5 LPA,2-5 years,LinkedIn,108,Medium (51-500),We value innovation and collaboration in a fast-paced environment.,hiring@outlook.com,1,"email_suspicious,missing_description,vague_company"
JOB49,Business Analyst,Accenture,Remote,12-20 LPA,10+ years,Naukri.com,272,Small (1-50),Join us to build the next generation of solutions in your field.,contact@outlook.com,1,"email_suspicious,missing_description"
JOB50,Graphic Designer,Deloitte,Mumbai,8-12 LPA,5-10 years,Naukri.com,432,Medium (51-500),Join us to build the next generation of solutions in your field.,apply@outlook.com,1,"email_suspicious,missing_description"
JOB51,Cyber Security Analyst,Google,Delhi,20+ LPA,5-10 years,LinkedIn,190,Large (500+),Applicants should have relevant technical skills and industry exposure.,jobs@company-careers.c0m,1,missing_description
JOB52,HR Manager,IBM,Pune,3-5 LPA,0-2 years,Naukri.com,500,Small (1-50),Pay and work with flexible hours — earn money fast!,contact@gmail.com,1,"email_suspicious,missing_description"
JOB53,Marketing Executive,Infosys,Anywhere,8-12 LPA,2-5 years,Naukri.com,288,Large (500+),Join us to build the next generation of solutions in your field.,career@gmail.com,1,"email_suspicious,missing_description"
JOB54,Financial Analyst,HCL,Bangalore,12-20 LPA,5-10 years,LinkedIn,446,Large (500+),Candidates will work closely with cross-functional teams to meet objectives.,jobs@gmail.com,1,"email_suspicious,missing_description"
JOB55,Data Scientist,TCS,Mumbai,5-8 LPA,5-10 years,Indeed,268,Small (1-50),Role requires domain expertise and strong communication skills.,jobs@gmail.com,1,"email_suspicious,missing_description"
JOB56,Product Manager,Amazon,Kolkata,12-20 LPA,5-10 years,Indeed,476,Large (500+),Competitive role with clear growth path and mentorship.,recruitment@jobssmail.com,1,missing_description
JOB57,Cyber Security Analyst,Wipro,Kolkata,20+ LPA,10+ years,Indeed,222,Small (1-50),Work from home and get paid weekly — easy money!,hiring@outlook.com,1,"email_suspicious,missing_description,company_salary_mismatch"
JOB58,HR Manager,HCL,Bangalore,12-20 LPA,0-2 years,Indeed,472,Medium (51-500),We value innovation and collaboration in a fast-paced environment.,hr@gmaill.com,1,missing_description
JOB59,Cyber Security Analyst,IBM,Jaipur,3-5 LPA,10+ years,LinkedIn,138,Small (1-50),Pay and work with flexible hours — earn money fast!,contact@gmail.com,1,"email_suspicious,missing_description"
JOB60,Sales Representative,Infosys,Noida,20+ LPA,2-5 years,Indeed,474,Medium (51-500),Pay and work with flexible hours — earn money fast!,apply@gmail.com,1,"email_suspicious,missing_description,company_salary_mismatch"
JOB61,Financial Analyst,Private,Delhi,8-12 LPA,0-2 years,Indeed,161,Medium (51-500),Candidates will work closely with cross-functional teams to meet objectives.,team@outlook.com,1,"email_suspicious,missing_description"
JOB62,Cyber Security Analyst,,Bangalore,5-8 LPA,0-2 years,Naukri.com,47,Small (1-50),Role requires domain expertise and strong communication skills.,hiring@outlook.com,1,"email_suspicious,missing_description,vague_company"
JOB63,Graphic Designer,Deloitte,Remote,20+ LPA,2-5 years,Indeed,48,Medium (51-500),Work from home and get paid weekly — easy money!,recruitment@gmail.com,1,"email_suspicious,missing_description,company_salary_mismatch"
JOB64,Sales Representative,IBM,Jaipur,3-5 LPA,10+ years,Naukri.com,350,Large (500+),Join us to build the next generation of solutions in your field.,apply@privatte.com,1,missing_description
JOB65,Sales Representative,Deloitte,Anywhere,3-5 LPA,0-2 years,Indeed,237,Large (500+),Applicants should have relevant technical skills and industry exposure.,team@gmail.com,1,"email_suspicious,missing_description"
JOB66,Data Scientist,Infosys,Bangalore,8-12 LPA,2-5 years,Indeed,228,Large (500+),Looking for experienced professionals to join our growing team.,apply@outlok.com,1,missing_description
JOB67,Product Manager,TCS,Hyderabad,12-20 LPA,2-5 years,Indeed,262,Small (1-50),Candidates will work closely with cross-functional teams to meet objectives.,apply@gmail.com,1,"email_suspicious,missing_description"
JOB68,HR Manager,Accenture,Ahmedabad,8-12 LPA,2-5 years,Indeed,381,Medium (51-500),Applicants should have relevant technical skills and industry exposure.,career@outlook.com,1,"email_suspicious,missing_description"
JOB69,Cyber Security Analyst,Accenture,Bangalore,20+ LPA,10+ years,LinkedIn,148,Large (500+),We value innovation and collaboration in a fast-paced environment.,hr@privatte.com,1,missing_description
JOB70,Cyber Security Analyst,Wipro,Pune,3-5 LPA,2-5 years,Indeed,316,Medium (51-500),We value innovation and collaboration in a fast-paced environment.,apply@jobssmail.com,1,missing_description
JOB71,Graphic Designer,Amazon,Mumbai,8-12 LPA,5-10 years,LinkedIn,430,Large (500+),Role requires domain expertise and strong communication skills.,hiring@company-careers.c0m,1,missing_description
JOB72,Sales Representative,,Multiple Locations,12-20 LPA,10+ years,Indeed,482,Small (1-50),Join us to build the next generation of solutions in your field.,admin@outlook.com,1,"email_suspicious,missing_description,vague_company,location_multiple_inconsistent"
JOB73,Sales Representative,Accenture,Mumbai,3-5 LPA,2-5 years,Naukri.com,176,Medium (51-500),Role requires domain expertise and strong communication skills.,career@outlook.com,1,"email_suspicious,missing_description"
JOB74,Product Manager,Microsoft,Ahmedabad,8-12 LPA,2-5 years,LinkedIn,173,Small (1-50),We value innovation and collaboration in a fast-paced environment.,hr@privatte.com,1,missing_description
JOB75,HR Manager,Wipro,Ahmedabad,20+ LPA,5-10 years,Naukri.com,42,Small (1-50),We value innovation and collaboration in a fast-paced environment.,hiring@privatte.com,1,"missing_description,company_salary_mismatch"
JOB76,Product Manager,IBM,Ahmedabad,8-12 LPA,0-2 years,LinkedIn,241,Small (1-50),Applicants should have relevant technical skills and industry exposure.,admin@outlook.com,1,"email_suspicious,missing_description"
JOB77,Business Analyst,Accenture,Noida,12-20 LPA,0-2 years,LinkedIn,160,Small (1-50),Applicants should have relevant technical skills and industry exposure.,contact@gmail.com,1,"email_suspicious,missing_description"
JOB78,Marketing Executive,HCL,Remote,3-5 LPA,2-5 years,LinkedIn,368,Large (500+),Looking for experienced professionals to join our growing team.,career@company-careers.c0m,1,missing_description
JOB79,Data Scientist,Infosys,Anywhere,8-12 LPA,10+ years,Naukri.com,124,Small (1-50),Competitive role with clear growth path and mentorship.,recruitment@company-careers.c0m,1,missing_description
JOB80,Financial Analyst,Wipro,Jaipur,20+ LPA,5-10 years,LinkedIn,299,Medium (51-500),Candidates will work closely with cross-functional teams to meet objectives.,team@outlok.com,1,"missing_description,company_salary_mismatch"
JOB81,Financial Analyst,Infosys,Chennai,8-12 LPA,5-10 years,Naukri.com,62,Large (500+),Looking for experienced professionals to join our growing team.,jobs@gmail.com,1,"email_suspicious,missing_description"
JOB82,Sales Representative,Wipro,Delhi,12-20 LPA,10+ years,Naukri.com,263,Large (500+),Urgent hiring — start immediately without any qualifications!,hiring@outlok.com,1,missing_description
JOB83,Product Manager,Accenture,Anywhere,12-20 LPA,0-2 years,Indeed,163,Small (1-50),Applicants should have relevant technical skills and industry exposure.,jobs@gmaill.com,1,missing_description
JOB84,HR Manager,,,5-8 LPA,10+ years,Naukri.com,102,Small (1-50),Pay and work with flexible hours — earn money fast!,jobs@private.com,1,"missing_description,vague_company,location_missing"
JOB85,Financial Analyst,Infosys,Chennai,8-12 LPA,10+ years,Indeed,356,Small (1-50),Role requires domain expertise and strong communication skills.,team@hiremefast.co,1,missing_description
JOB86,Product Manager,Wipro,Hyderabad,3-5 LPA,5-10 years,Naukri.com,24,Small (1-50),Candidates will work closely with cross-functional teams to meet objectives.,recruitment@outlook.com,1,"email_suspicious,missing_description"
JOB87,Data Scientist,TCS,Mumbai,20+ LPA,0-2 years,Indeed,114,Medium (51-500),We value innovation and collaboration in a fast-paced environment.,contact@outlok.com,1,"missing_description,company_salary_mismatch"
JOB88,Financial Analyst,HCL,Jaipur,5-8 LPA,2-5 years,Naukri.com,147,Small (1-50),Candidates will work closely with cross-functional teams to meet objectives.,hr@gmaill.com,1,missing_description
JOB89,Sales Representative,TCS,Mumbai,12-20 LPA,5-10 years,Naukri.com,120,Large (500+),Applicants should have relevant technical skills and industry exposure.,hr@outlook.com,1,"email_suspicious,missing_description"
JOB90,Graphic Designer,TCS,Hyderabad,5-8 LPA,5-10 years,LinkedIn,166,Large (500+),Applicants should have relevant technical skills and industry exposure.,recruitment@outlook.com,1,"email_suspicious,missing_description"
JOB91,Software Engineer,IBM,Chennai,20+ LPA,5-10 years,Indeed,412,Large (500+),Applicants should have relevant technical skills and industry exposure.,apply@outlook.com,1,"email_suspicious,missing_description"
JOB92,Graphic Designer,Infosys,Jaipur,8-12 LPA,5-10 years,Naukri.com,116,Medium (51-500),Join us to build the next generation of solutions in your field.,contact@gmail.com,1,"email_suspicious,missing_description"
JOB93,Marketing Executive,Google,Noida,5-8 LPA,10+ years,Naukri.com,78,Medium (51-500),Limited slots available! Click here to apply fast!,hiring@hiremefast.co,1,missing_description
JOB94,Software Engineer,,Hyderabad,12-20 LPA,2-5 years,LinkedIn,496,Small (1-50),Role requires domain expertise and strong communication skills.,hr@outlook.com,1,"email_suspicious,missing_description,vague_company"
JOB95,HR Manager,Deloitte,,5-8 LPA,0-2 years,LinkedIn,80,Large (500+),Candidates will work closely with cross-functional teams to meet objectives.,hiring@private.com,1,"missing_description,location_missing"
JOB96,Cyber Security Analyst,Amazon,Pune,8-12 LPA,0-2 years,LinkedIn,410,Small (1-50),Applicants should have relevant technical skills and industry exposure.,hiring@gmail.com,1,"email_suspicious,missing_description"
JOB97,Software Engineer,TCS,Jaipur,3-5 LPA,10+ years,Naukri.com,405,Small (1-50),Role requires domain expertise and strong communication skills.,admin@outlook.com,1,"email_suspicious,missing_description"
JOB98,Marketing Executive,TCS,Kolkata,20+ LPA,2-5 years,Naukri.com,428,Medium (51-500),Role requires domain expertise and strong communication skills.,admin@gmaill.com,1,"missing_description,company_salary_mismatch"
JOB99,Financial Analyst,Amazon,Bangalore,20+ LPA,0-2 years,Indeed,325,Small (1-50),"No expreience required, immediate joiners welcome! Apply now!",apply@gmail.com,1,"email_suspicious,missing_description,company_salary_mismatch,trigger_keyword"
JOB100,Financial Analyst,HCL,Kolkata,5-8 LPA,2-5 years,Naukri.com,118,Large (500+),Candidates will work closely with cross-functional teams to meet objectives.,team@company-careers.c0m,1,missing_description
JOB101,Cyber Security Analyst,Amazon,Jaipur,3-5 LPA,5-10 years,LinkedIn,434,Large (500+),Work from home and get paid weekly — easy money!,admin@gmail.com,1,"email_suspicious,missing_description"
JOB102,Product Manager,HCL,Remote,12-20 LPA,0-2 years,Naukri.com,137,Medium (51-500),Urgent hiring — start immediately without any qualifications!,hiring@company-careers.c0m,1,missing_description
JOB103,Marketing Executive,Infosys,Pune,12-20 LPA,0-2 years,Indeed,16,Medium (51-500),Join us to build the next generation of solutions in your field.,jobs@outlook.com,1,"email_suspicious,missing_description"
JOB104,Financial Analyst,Wipro,Remote,12-20 LPA,0-2 years,LinkedIn,212,Medium (51-500),Limited slots available! Click here to apply fast!,apply@company-careers.c0m,1,missing_description
JOB105,Sales Representative,Wipro,Jaipur,3-5 LPA,0-2 years,Naukri.com,260,Medium (51-500),Candidates will work closely with cross-functional teams to meet objectives.,apply@jobssmail.com,1,missing_description
JOB106,Graphic Designer,Amazon,Multiple Locations,12-20 LPA,0-2 years,Indeed,53,Large (500+),We value innovation and collaboration in a fast-paced environment.,hr@jobssmail.com,1,missing_description
JOB107,Cyber Security Analyst,Accenture,,20+ LPA,10+ years,LinkedIn,235,Large (500+),Candidates will work closely with cross-functional teams to meet objectives.,apply@gmail.com,1,"email_suspicious,missing_description,location_missing"
JOB108,Cyber Security Analyst,IBM,Noida,3-5 LPA,5-10 years,Indeed,401,Medium (51-500),Role requires domain expertise and strong communication skills.,recruitment@private.com,1,missing_description
JOB109,Product Manager,Microsoft,Bangalore,3-5 LPA,10+ years,Indeed,412,Large (500+),Join us to build the next generation of solutions in your field.,recruitment@outlook.com,1,"email_suspicious,missing_description"
JOB110,Financial Analyst,Google,Bangalore,8-12 LPA,2-5 years,Naukri.com,375,Large (500+),Looking for experienced professionals to join our growing team.,recruitment@privatte.com,1,missing_description
JOB111,Graphic Designer,Amazon,Remote,20+ LPA,10+ years,LinkedIn,483,Medium (51-500),We value innovation and collaboration in a fast-paced environment.,admin@company-careers.c0m,1,"missing_description,company_salary_mismatch"
JOB112,Data Scientist,Wipro,Jaipur,3-5 LPA,5-10 years,Naukri.com,384,Medium (51-500),Looking for experienced professionals to join our growing team.,admin@outlook.com,1,"email_suspicious,missing_description"
JOB113,HR Manager,Amazon,Jaipur,5-8 LPA,5-10 years,Naukri.com,370,Small (1-50),Candidates will work closely with cross-functional teams to meet objectives.,recruitment@gmail.com,1,"email_suspicious,missing_description"
JOB114,Sales Representative,Private,Noida,3-5 LPA,5-10 years,LinkedIn,92,Large (500+),We value innovation and collaboration in a fast-paced environment.,contact@outlok.com,1,missing_description
JOB115,Business Analyst,Confidential,Hyderabad,3-5 LPA,2-5 years,Naukri.com,194,Small (1-50),Competitive role with clear growth path and mentorship.,career@private.com,1,"missing_description,vague_company"
JOB116,Financial Analyst,Amazon,Chennai,8-12 LPA,0-2 years,Naukri.com,500,Medium (51-500),Easy pay and work opportunity for students — apply now!,recruitment@private.com,1,"missing_description,trigger_keyword"
JOB117,Software Engineer,Private,,12-20 LPA,2-5 years,Naukri.com,253,Medium (51-500),Join us to build the next generation of solutions in your field.,hiring@outlook.com,1,"email_suspicious,missing_description,location_missing"
JOB118,HR Manager,Accenture,Jaipur,12-20 LPA,5-10 years,Indeed,290,Small (1-50),We value innovation and collaboration in a fast-paced environment.,hr@gmail.com,1,"email_suspicious,missing_description"
JOB119,HR Manager,Deloitte,,20+ LPA,10+ years,LinkedIn,20,Small (1-50),Work from home and get paid weekly — easy money!,contact@privatte.com,1,"missing_description,location_missing,company_salary_mismatch"
JOB120,Cyber Security Analyst,TCS,Kolkata,20+ LPA,5-10 years,Indeed,464,Medium (51-500),Role requires domain expertise and strong communication skills.,admin@outlook.com,1,"email_suspicious,missing_description,company_salary_mismatch"
JOB121,Product Manager,Private,Bangalore,5-8 LPA,0-2 years,LinkedIn,373,Large (500+),Looking for experienced professionals to join our growing team.,jobs@privatte.com,1,missing_description
JOB122,Product Manager,Private,Remote,3-5 LPA,2-5 years,LinkedIn,159,Large (500+),Applicants should have relevant technical skills and industry exposure.,apply@private.com,1,missing_description
JOB123,Data Scientist,Accenture,Noida,8-12 LPA,0-2 years,Naukri.com,41,Large (500+),Role requires domain expertise and strong communication skills.,contact@jobssmail.com,1,missing_description
JOB124,Graphic Designer,Amazon,Multiple Locations,3-5 LPA,0-2 years,LinkedIn,449,Medium (51-500),Role requires domain expertise and strong communication skills.,recruitment@gmail.com,1,"email_suspicious,missing_description"
JOB125,Marketing Executive,Deloitte,Jaipur,8-12 LPA,10+ years,Indeed,42,Medium (51-500),Competitive role with clear growth path and mentorship.,admin@outlook.com,1,"email_suspicious,missing_description"
JOB126,Business Analyst,Private,Chennai,3-5 LPA,0-2 years,LinkedIn,476,Large (500+),Limited slots available! Click here to apply fast!,team@outlook.com,1,"email_suspicious,missing_description"
JOB127,Data Scientist,IBM,Ahmedabad,3-5 LPA,2-5 years,LinkedIn,441,Medium (51-500),Candidates will work closely with cross-functional teams to meet objectives.,recruitment@outlook.com,1,"email_suspicious,missing_description"
JOB128,Data Scientist,HCL,Pune,3-5 LPA,0-2 years,Naukri.com,318,Small (1-50),Candidates will work closely with cross-functional teams to meet objectives.,team@outlook.com,1,"email_suspicious,missing_description"
JOB129,Data Scientist,Amazon,Hyderabad,3-5 LPA,2-5 years,Naukri.com,459,Large (500+),Competitive role with clear growth path and mentorship.,hiring@hiremefast.co,1,missing_description
JOB130,Software Engineer,Amazon,Multiple Locations,8-12 LPA,5-10 years,Naukri.com,410,Large (500+),Work from home and get paid weekly — easy money!,hr@hiremefast.co,1,missing_description
JOB131,Marketing Executive,Private,Noida,8-12 LPA,5-10 years,LinkedIn,133,Large (500+),Join us to build the next generation of solutions in your field.,admin@company-careers.c0m,1,missing_description
JOB132,Business Analyst,Infosys,Pune,12-20 LPA,0-2 years,LinkedIn,202,Medium (51-500),Competitive role with clear growth path and mentorship.,contact@gmail.com,1,"email_suspicious,missing_description"
JOB133,Marketing Executive,Deloitte,Hyderabad,5-8 LPA,0-2 years,Indeed,251,Large (500+),Urgent hiring — start immediately without any qualifications!,hr@outlook.com,1,"email_suspicious,missing_description"
JOB134,Product Manager,Accenture,Chennai,12-20 LPA,5-10 years,Indeed,437,Medium (51-500),Applicants should have relevant technical skills and industry exposure.,apply@gmail.com,1,"email_suspicious,missing_description"
JOB135,Cyber Security Analyst,Private,Bangalore,8-12 LPA,10+ years,LinkedIn,491,Small (1-50),Easy pay and work opportunity for students — apply now!,hr@gmail.com,1,"email_suspicious,missing_description,trigger_keyword"
JOB136,Software Engineer,,Ahmedabad,20+ LPA,0-2 years,Indeed,85,Large (500+),We value innovation and collaboration in a fast-paced environment.,contact@outlook.com,1,"email_suspicious,missing_description,vague_company"
JOB137,Marketing Executive,Amazon,Jaipur,8-12 LPA,10+ years,Indeed,190,Medium (51-500),Candidates will work closely with cross-functional teams to meet objectives.,hr@outlook.com,1,"email_suspicious,missing_description"
JOB138,Data Scientist,IBM,,5-8 LPA,5-10 years,Naukri.com,421,Large (500+),Candidates will work closely with cross-functional teams to meet objectives.,admin@privatte.com,1,"missing_description,location_missing"
JOB139,Data Scientist,Infosys,Noida,5-8 LPA,5-10 years,Indeed,57,Small (1-50),Looking for experienced professionals to join our growing team.,team@private.com,1,missing_description
JOB140,Marketing Executive,Accenture,Ahmedabad,8-12 LPA,2-5 years,Naukri.com,410,Large (500+),Pay and work with flexible hours — earn money fast!,team@gmail.com,1,"email_suspicious,missing_description"
JOB141,Graphic Designer,IBM,Pune,8-12 LPA,0-2 years,Indeed,163,Small (1-50),Applicants should have relevant technical skills and industry exposure.,team@hiremefast.co,1,missing_description
JOB142,Data Scientist,Infosys,Chennai,3-5 LPA,0-2 years,LinkedIn,322,Large (500+),We value innovation and collaboration in a fast-paced environment.,team@private.com,1,missing_description
JOB143,Data Scientist,Deloitte,Delhi,12-20 LPA,2-5 years,Naukri.com,293,Medium (51-500),Candidates will work closely with cross-functional teams to meet objectives.,recruitment@privatte.com,1,missing_description
JOB144,Marketing Executive,TCS,Jaipur,3-5 LPA,5-10 years,Indeed,294,Large (500+),Role requires domain expertise and strong communication skills.,apply@hiremefast.co,1,missing_description
